,Transaction_ID,Timestamp,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator,Date,Day,Hour
1822,1823,2023-01-01 00:00:00,Motorcycle,FTG-674-DEF-789,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",52,KA10ST8912,0,2023-01-01,1,0
4070,4071,2023-01-01 01:57:00,Motorcycle,,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",67,KA67NO2345,0,2023-01-01,1,1
2084,2085,2023-01-01 03:40:00,Sedan,FTG-529-EFG-012,A-101,Express,Medium,115,115,"13.21331620748757, 77.55413526894684",47,AP19GH3456,0,2023-01-01,1,3
1327,1328,2023-01-01 08:00:00,Van,FTG-627-YZA-456,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",83,KA71EF0123,0,2023-01-01,1,8
112,113,2023-01-01 08:15:00,Bus ,FTG-113-PWI-323,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",71,KA40CD2345,1,2023-01-01,1,8
553,554,2023-01-01 08:15:00,Bus ,FTG-634-RFV-082,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",49,KA05AB2145,0,2023-01-01,1,8
738,739,2023-01-01 08:15:00,Truck,FTG-019-FRD-566,C-103,Express,Large,290,100,"13.042660878688794, 77.47580097259879",42,KA29OP0173,1,2023-01-01,1,8
201,202,2023-01-01 08:15:00,Sedan,FTG-212-ABC-657,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",93,KA53IJ8908,0,2023-01-01,1,8
374,375,2023-01-01 08:15:00,Truck,FTG-318-UYT-875,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",47,KA53IJ8901,0,2023-01-01,1,8
928,929,2023-01-01 08:17:00,Van,FTG-781-BVC-985,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",79,KA05QR4367,0,2023-01-01,1,8
1048,1049,2023-01-01 08:18:00,Sedan,FTG-234-TUV-890,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",46,AP21QR3456,0,2023-01-01,1,8
1505,1506,2023-01-01 12:00:00,Bus ,FTG-247-HIJ-123,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",63,KA18KL2345,0,2023-01-01,1,12
3300,3301,2023-01-01 12:30:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",45,GJ78KL0123,0,2023-01-01,1,12
926,927,2023-01-01 12:45:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",77,KA98MN4167,0,2023-01-01,1,12
834,835,2023-01-01 12:45:00,Car,FTG-591-YUI-982,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",76,KA20KL0123,0,2023-01-01,1,12
2825,2826,2023-01-01 14:08:00,Truck,FTG-326-PLM-132,C-103,Regular,Large,350,140,"13.059816123454882, 77.77068662374292",85,KA56DE2345,1,2023-01-01,1,14
3234,3235,2023-01-01 17:00:00,SUV,FTG-115-DCV-764,B-102,Express,Large,130,90,"13.042660878688794, 77.47580097259879",45,GJ67ST6789,1,2023-01-01,1,17
2507,2508,2023-01-01 17:51:00,Bus ,FTG-088-URW-543,C-103,Regular,Large,350,160,"13.059816123454882, 77.77068662374292",88,KA21QP8901,1,2023-01-01,1,17
2594,2595,2023-01-01 18:20:00,Truck,FTG-055-EDC-543,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,KA15CD3344,0,2023-01-01,1,18
2960,2961,2023-01-01 20:03:00,Sedan,FTG-461-POU-977,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",47,KA23KF2345,0,2023-01-01,1,20
876,877,2023-01-01 20:15:00,Car,FTG-400-IJK-570,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",66,KA46QR2345,0,2023-01-01,1,20
784,785,2023-01-01 20:15:00,Bus ,FTG-541-ZXC-994,C-103,Express,Large,290,100,"13.042660878688794, 77.47580097259879",23,KA67CD6789,1,2023-01-01,1,20
2620,2621,2023-01-01 20:21:00,Car,FTG-121-BVC-986,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",61,KA26YZ2345,0,2023-01-01,1,20
3765,3766,2023-01-01 20:59:00,Sedan,FTG-133-CED-105,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",88,AP34YZ0123,0,2023-01-01,1,20
3142,3143,2023-01-01 21:53:00,Sedan,FTG-823-NMK-361,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",45,KL89WX4567,0,2023-01-01,1,21
4995,4996,2023-01-01 22:18:00,Truck,FTG-445-EDC-765,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",81,KA74ST0123,0,2023-01-01,1,22
3678,3679,2023-01-01 22:29:00,Motorcycle,,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",70,KA23LM8901,0,2023-01-01,1,22
1823,1824,2023-01-02 01:30:00,Truck,FTG-907-GHI-012,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",46,KA10ST8913,0,2023-01-02,2,1
3700,3701,2023-01-02 03:43:00,Truck,FTG-054-KVH-098,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",63,KA89DE1234,0,2023-01-02,2,3
2393,2394,2023-01-02 08:15:00,SUV,FTG-353-NBH-321,B-102,Regular,Large,145,145,"13.21331620748757, 77.55413526894684",91,GA21WX5678,0,2023-01-02,2,8
938,939,2023-01-02 08:18:00,Bus ,FTG-791-YUI-987,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",89,KA35KL2145,0,2023-01-02,2,8
2085,2086,2023-01-02 09:30:00,SUV,FTG-762-HIJ-345,B-102,Regular,Large,145,145,"13.21331620748757, 77.55413526894684",73,GA19IJ7890,0,2023-01-02,2,9
1328,1329,2023-01-02 12:30:00,Sedan,FTG-860-BCD-789,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",68,KA74GH4567,0,2023-01-02,2,12
202,203,2023-01-02 12:45:00,SUV,FTG-203-PQR-323,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",57,KA56KL2342,1,2023-01-02,2,12
554,555,2023-01-02 12:45:00,Car,FTG-890-XYZ-465,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",52,KA08CD6989,0,2023-01-02,2,12
375,376,2023-01-02 12:45:00,Van,FTG-325-VBN-768,B-102,Regular,Medium,140,100,"13.059816123454882, 77.77068662374292",73,KA56KL2145,1,2023-01-02,2,12
113,114,2023-01-02 12:45:00,Car,FTG-114-KJH-087,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",89,KA43EF6789,0,2023-01-02,2,12
1049,1050,2023-01-02 12:48:00,SUV,FTG-567-WXY-123,B-102,Regular,Large,150,90,"12.84197701525119, 77.67547528176169",81,GA21ST7890,1,2023-01-02,2,12
1506,1507,2023-01-02 13:30:00,Car,FTG-480-KLM-456,A-101,Express,Small,70,70,"12.936687032945434, 77.53113977439017",67,KA21MN6789,0,2023-01-02,2,13
4026,4027,2023-01-02 18:28:00,Bus ,FTG-016-NBH-210,C-103,Express,Large,300,300,"12.936687032945434, 77.53113977439017",82,KA23DE6789,0,2023-01-02,2,18
3656,3657,2023-01-02 19:16:00,Car,FTG-010-MNO-210,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",58,KA45TU6789,0,2023-01-02,2,19
3051,3052,2023-01-02 19:58:00,Sedan,FTG-632-IXC-644,A-101,Regular,Medium,100,100,"13.042660878688794, 77.47580097259879",42,KA01AB2345,0,2023-01-02,2,19
4631,4632,2023-01-02 20:12:00,Truck,FTG-091-YUI-765,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",79,KA78IJ2345,0,2023-01-02,2,20
4048,4049,2023-01-02 21:43:00,Car,FTG-038-GKJ-654,A-101,Express,Small,70,70,"12.936687032945434, 77.53113977439017",75,KA45VW4567,0,2023-01-02,2,21
4373,4374,2023-01-02 22:59:00,Van,FTG-157-OPQ-777,B-102,Regular,Medium,120,110,"12.936687032945434, 77.53113977439017",55,TN23CD5678,1,2023-01-02,2,22
3525,3526,2023-01-02 23:18:00,Truck,FTG-879-RFD-543,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",82,KA78KL1234,0,2023-01-02,2,23
2642,2643,2023-01-02 23:35:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",66,KA47OP6789,0,2023-01-02,2,23
3547,3548,2023-01-03 03:32:00,Van,FTG-901-XYZ-987,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",97,MH45WX6789,0,2023-01-03,3,3
